fresh;fet1;fet2;fet3;fet4;fet5;fet6;fet7;fet8;fet9;fet10;s1;s2;s3;s4;s5;s6;s7;cd1;cd2;cy1;cy2;cy3;dis1;dis2;dis3;dis4;life1;life2;life3;life4;fwl1;fwl2;fwl3;fwl4;fwl5;fwl6;fwl7;fwl8;wnb1;wnb2;wnb3;wnb4;wnb5;egg1;egg2;egg3;egg4;drift1;drift2;drift3;cuv1;cuv2;cuv3;cuv4;cup1;cup2;cup3;cup4;cup5;cup6;cup7;szp1;szp2;szp3;szp4;szp5;szp6;szp7;szp8;szp9;szp10;lsr1;lsr2;lsr3;lsr4;lsr5;lsr6;lsr7;lsr8;res1;res2;res3;res4;res5;ref1;ref2;ref3;ref4;ref5;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;aqs1;aqs2;aqs3;aqs4
Limnephilidae_Gen_sp;0.2;0;0;0.5;0.1;0;0;0.2;0;0;0;0;0.066666667;0.588888889;0.344444444;0;0;0.943396226;0.056603774;0.047619048;0.952380952;0;0.119565217;0.336956522;0;0.543478261;0;0.357142857;0.642857143;0;0;0.168421053;0.4;0.284210526;0.147368421;0;0;0;0;0;0;0;1;0.084745763;0.915254237;0;0;0.673469388;0.244897959;0.081632653;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limnephilus_sp;0.2;0;0;0.5;0;0;0;0.3;0;0;0;0;0;0.6;0.4;0;0;1;0;0;1;0;0;0.333333333;0;0.666666667;0;0.25;0.75;0;0;0.2;0.6;0.2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;0.1;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lymnaea_sp;0.4;0;0;0.4;0;0;0;0;0;0.2;0;0;0;0;0.5;0.5;0;0.6;0.4;0.25;0.75;0;0.5;0.5;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.333333333;0.5;0.166666667;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lymnaeidae_Gen_sp;0.4;0;0;0.2;0.3;0;0;0;0;0.1;0;0;0;0.235294118;0.588235294;0.176470588;0;0.6875;0.3125;0.071428571;0.642857143;0.285714286;0.615384615;0.384615385;0;0;0;0;0.733333333;0.266666667;0;0;0;0;0;0;0;0;1;0;0;0;0;0.1;0.4;0.4;0.1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.2;0.1;0.1;0.1;0.1;0;0.4;0;0;0.117647059;0;0.882352941;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0.9375;0.0625;0;0;0;0.576923077;0;0;0.423076923
Mesovelia_sp;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0.666666667;0;0.333333333;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0.75;0.25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1;0;0.9;0;0.166666667;0.666666667;0;0.166666667;0;0;0;0;0;0;0;1;0;0.75;0;0;0.25;0;0;0;0.25;0;0;0.75;0;0;0.2;0.4;0;0.4
Metreletus_sp;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0.125;0.375;0.125;0.375;0.75;0.25;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0.666666667;0.333333333;0;0.5;0.25;0.25;0.2;0.6;0.2;0;0;0;0;0;0;0;0;0;0.1;0.3;0.3;0.2;0;0;0;0.1;0;0;0;1;0;0;0;0;0;0.333333333;0.666666667;0;0;0;0.5;0;0;0;0.5;0;0.25;0.75;0;0;0;0;0;0.5;0.5;0;0
Micronecta_sp;0;0;0;0;1;0;0;0;0;0;0.75;0.25;0;0;0;0;0;1;0;0;0;1;0.75;0.25;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.5;0.5;0;0;1;0;0;0.5;0.25;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0.9;0;0;0;0.6;0.4;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;0;0;1;0;0;0;0.6;0.4;0;0;0;0;0.333333333;0.333333333;0;0.333333333
Muscidae_Gen_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285714286;0.285714286;0.285714286;0.142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0.166666667;0;0.166666667;0.166666667;0;0;0.5;0;0;0.666666667;0.333333333;0
Musculium_sp;0;0;0;0;0;1;0;0;0;0;0;0.3;0.2;0.4;0.1;0;0;0.333333333;0.666666667;0;0.5;0.5;0.5;0.25;0.25;0;0;0;0.4;0.6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0.5;0.5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.2;0.3;0;0.5;0;0;0;0;0.142857143;0.571428571;0;0.285714286;0;0.25;0.75;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0.333333333;0.333333333;0;0.333333333
Nepa_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;0.6;0.4;0;0;0.75;0.25;0;1;0;0.166666667;0.5;0;0.333333333;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0.6;0.4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0.8;0;0;0;0.2;0.8;0;0;0;0;0.2;0;0.2;0.6;0;0.5;0;0;0;0.5;0;0;0;0;0;1;0;0;0.375;0.375;0;0.25
Niphargus_sp;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0.25;0.75;0;0.75;0.25;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.125;0.375;0.125;0.375;0;0;0.25;0.75;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0.333333333;0.333333333;0;0.333333333
Noterus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.25;0;0.75;0;0;0.75;0.25;0.5;0.5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0;0.428571429;0;0;0;0.5;0;0;0.5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0.272727273;0.272727273;0.272727273;0.181818182
Notonecta_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.6;0.4;0;1;0;0;0.4;0;0.6;0;0;1;0;0;0.666666667;0.333333333;0;0;0;0;0;0;0;0;1;0;0.333333333;0.5;0.166666667;0;1;0;0;0.75;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.25;0.25;0.5;0;0;0;0;0;0.2;0;0.2;0.6;0;0.25;0;0;0.75;0;0;0;0;0.25;0;0.75;0;0;0.375;0.375;0;0.25
Notonectidae_Gen_sp;0;0;0;0;0;0;0;1;0;0;0;0;0.666666667;0.333333333;0;0;0;0.818181818;0.181818182;0;0.714285714;0.285714286;0;0.4;0;0.6;0;0;1;0;0;0.833333333;0.166666667;0;0;0;0;0;0;0;0;1;0;0.333333333;0.5;0.166666667;0;1;0;0;0.75;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.25;0.25;0.5;0;0;0;0;0;0.2;0;0.2;0.6;0;0.25;0;0;0.75;0;0;0;0;0.25;0;0.75;0;0;0.375;0.375;0;0.25
Oecetis_sp;0;0;0;0;0;0;0;1;0;0;0;0;0.75;0.25;0;0;0;1;0;0;0.75;0.25;0.166666667;0.166666667;0.166666667;0.5;0.5;0.5;0;0;0;0.75;0.25;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0.285714286;0.428571429;0.285714286;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.2;0;0.5;0;0;0;0.2;0.8;0;0;0;0;0.4;0.6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.333333333;0.333333333;0.333333333;0
